prob_Size   Num_proc  Proc_time   Solution
10 1 0.000011 8.6800000000000
100 1 0.000008 8.6668000000000
1000 1 0.000013 8.6666680000000
10000 1 0.000063 8.6666666800000
100000 1 0.000558 8.6666666668000
1000000 1 0.005577 8.6666666666680
10000000 1 0.055215 8.6666666666676
100000000 1 0.552405 8.6666666666654
1000000000 1 5.501454 8.6666666666643
